destinationId,name,labels,address,description,timeCost,rate,heat,opentime,imgUrl
5,Central Park,Points of Interest & Landmarks|Parks|Scenic Walking Areas,"59th to 110th Street Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022","For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",Duration: More than 3 hours,4.5,"133,950",6:00 AM - 1:00 AM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/90/ab/88/central-park-manhattan.jpg?w=900&h=600&s=1
5,The National 9/11 Memorial & Museum,Speciality Museums|Historic Sites|Points of Interest & Landmarks,"180 Greenwich St World Trade Center, New York City, NY 10007-0089","Through commemoration, exhibitions and educational programs, The National September 11 Memorial & Museum, a nonprofit in New York City, remembers and honors the 2,983 people killed in the horrific attacks of September 11, 2001, and February 26, 1993, as well as those who risked their lives to save others and all who demonstrated extraordinary compassion in the aftermath of the attacks.

9/11 Memorial, Open Daily, 7-days, 10 a.m. to 5 p.m.

9/11 Memorial Museum, Open Thursday–Monday, 10 a.m. to 5 p.m.

Thanksgiving and Christmas: Memorial Only, 10 a.m. to 4 p.m.; Museum Closed",Duration: 2-3 hours,4.5,"96,970",9:00 AM - 7:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/aa/b3/911-memorial-nyc.jpg?w=900&h=600&s=1
5,The Metropolitan Museum of Art,Points of Interest & Landmarks|Art Museums,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",Duration: 2-3 hours,5.0,"55,214",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/61/95/89/the-met-fifth-avenue.jpg?w=900&h=600&s=1
5,Empire State Building,Points of Interest & Landmarks|Architectural Buildings|Observation Decks & Towers,"20 West 34th Street, New York City, NY 10001","The Empire State Building is the World's Most Famous Building. It rises 1,454 ft from ground to antenna & features the only 360 degree open-air vantage point of Midtown. The 86th & 102nd Fl Observatories are open daily, see esbnyc.com for hours. On a clear day you can see up to 6 states. The brand-new 2nd floor museum (included in all ticket options) offers guests 10,000 sq ft of interactive exhibits that invite visitors on a journey beginning from the building’s construction to its current place in pop culture. The 102nd Fl Obs features floor-to-ceiling windows and a glass elevator with sound & light experience. It is the jewel of NYC. All signage, audio & exhibits in the building are available in 9 languages. We offer free Wi-Fi. The 34th St Lobby entrance features a grand staircase with a 2-story architectural model of the bldg & a high-tech LED exhibit that celebrates lighting ceremonies performed by famous, celebrity guests. Express guests receive red carpet VIP treatment.",Duration: 1-2 hours,4.5,"95,303",10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/74/9f/photo0jpg.jpg?w=900&h=600&s=1
5,Broadway,Points of Interest & Landmarks,"599 Broadway, New York City, NY 10012-3235","Midtown Manhattan is home to one of the world's most famous theatre districts, with iconic musicals and well-loved plays staged live at over 40 theatres.",,4.5,"31,796",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/87/eb/86/photo3jpg.jpg?w=900&h=600&s=1
5,Statue of Liberty,Points of Interest & Landmarks|Monuments & Statues,"Liberty Island, New York City, NY 10004","The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.",Duration: More than 3 hours,4.5,"44,062",8:30 AM - 4:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/ba/d3/e8/statue-of-liberty_rotated_90.jpg?w=900&h=600&s=1
5,Grand Central Terminal,Points of Interest & Landmarks|Architectural Buildings,"89 E 42nd Street, New York City, NY 10017-5503","Grand Central Terminal is the most extraordinary public space in New York City. Opened to the public in 1913, this historic train terminal is a world-famous landmark in Midtown. Its rich history is a story of immense wealth and great engineering. Grand Central is one of the busiest train stations in the world, with approximately 750,000 visitors every day. It is the home of Metro-North Railroad, a subway station, iconic restaurants, shops, and the world's most alluring Apple Store. Some of the highlights to see along your tour of Grand Central include the opal-faced clock, valued at $20 million, above the Information Booth, the Largest Tiffany Glass Clock in the World below the 48-foot, 1500-ton Transportation statue overlooking 42nd Street at Park Avenue, and the mystifying acoustics of the Whispering Gallery in front of the Oyster Bar and Restaurant. Audio and guided tours are available for those with a passion for history. More information regarding tours and ways to plan your visit can be found on the Grand Central Terminal website.",Duration: 1-2 hours,4.5,"44,746",5:30 AM - 2:00 AM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6a/d7/27/fb-img-1556736015619.jpg?w=900&h=600&s=1
5,Manhattan Skyline,Points of Interest & Landmarks,Neighbourhood: Midtown,"From the Chrysler Building to the Empire State Building, this world-famous skyline view of New York's most densely populated borough is a must-see for any traveler.",,5.0,"21,494",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a4/59/20/photo5jpg.jpg?w=900&h=600&s=1
5,Times Square,Neighbourhoods|Points of Interest & Landmarks|Scenic Walking Areas,"Broadway, New York City, NY 10036","Central area in NYC that has many shops, restaurants, office buildings and flashing billboards around it.",Duration: 1-2 hours,4.5,"56,814",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/97/38/c7/one-of-my-favourite-places.jpg?w=900&h=600&s=1
5,Rockefeller Center,Points of Interest & Landmarks|Architectural Buildings,"45 Rockefeller Plaza Rockefeller Centre, New York City, NY 10111-0100","Rockefeller Center is a national historic landmark in the heart of Midtown Manhattan. Home to Top of the Rock Observation Deck, NBC Studios, Radio City Music Hall and much more. Shop, dine and explore at one of New York's most inspiring locations.",Duration: 1-2 hours,4.5,"25,612",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4d/b6/dd/empire-state-view.jpg?w=900&h=600&s=1
5,Radio City Music Hall,Points of Interest & Landmarks|Theatres,"1260 6th Avenue Between 50th and 51st Streets, New York City, NY 10020",Tours run daily starting at 9:30 AM,Duration: 2-3 hours,4.5,"9,309",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a2/48/86/radio-city-music-hall.jpg?w=900&h=600&s=1
5,Fifth Avenue,Points of Interest & Landmarks,"5th Ave, New York City, NY 10118-4810",Famous street offering some of the most expensive and fashionable shops in the city.,,4.5,"8,581",12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3a/a5/0c/5th-avenue-ny.jpg?w=900&h=600&s=1
5,Ellis Island,Historic Sites|Points of Interest & Landmarks|History Museums,"New York Harbor, New York City, NY 10017",Visitors can retrace the steps of their ancestors at this famous landing point that welcomed millions of immigrants to the United States.,,4.5,"7,321",9:00 AM - 4:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/08/d3/fa/ellis-island-nov-2015.jpg?w=900&h=600&s=1
5,Washington Square Park,Points of Interest & Landmarks|Parks,"5 Ave, Waverly Pl., W. 4 St. and Macdougal St., New York City, NY 10011","A 9.75-acre city park in Greenwich Village, characterized by its large, central fountain, and known as a major center of community activity for the neighborhood residents.",Duration: < 1 hour,4.5,"3,660",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6c/80/e5/washington-square-arch.jpg?w=900&h=600&s=1
