destinationId,name,labels,address,description,timeCost,rate,heat,opentime,imgUrl
1,CN Tower,Points of Interest & Landmarks|Architectural Buildings|Observation Decks & Towers,"290 Bremner Blvd, Toronto, Ontario M5V 3L9 Canada","Climb this 1,815-foot-tall observation tower to have the whole of Toronto at your feet and overlook up to 100 miles on a clear day. Once the tallest structure on Earth for over 30 years, the CN Tower attracts travelers to its two observation decks—one of which features a glass floor. If you’re looking for an extra thrill, try Edgewalk, where you can walk hands-free on a ledge surrounding the top floors. The tower is also home to the award-winning 360 Restaurant, which completes a rotation around the structure every 72 minutes, giving you an ever-changing view of the city while you dine. – Tripadvisor",Duration: 1-2 hours,4.5,"25,522",10:00 AM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/10/9d/ed/bb/caption.jpg?w=900&h=600&s=1
1,Nathan Phillips Square,Points of Interest & Landmarks,"100 Queen St W, Toronto, Ontario M5H 2N1 Canada",,,4.0,"1,108",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/73/cc/f2/nathan-phillips-square.jpg?w=900&h=600&s=1
1,Queen Street,Points of Interest & Landmarks|Historic Walking Areas,Neighbourhood: East End,"Often compared to New York City's Soho, Queen Street is the place to go for trendy dining and nightlife, plus cutting-edge fashion, art galleries, antique shops and bookstores.",,4.5,707,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/cc/cb/39/funky-buildings.jpg?w=900&h=600&s=1
1,Yonge-Dundas Square,Points of Interest & Landmarks|Theatres,Neighbourhood: Downtown,,,4.0,"1,616",12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/14/b5/dd/photo1jpg.jpg?w=900&h=600&s=1
1,The Path,Points of Interest & Landmarks,Neighbourhood: Downtown,,,4.0,316,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/3c/1a/21/the-path-one-of-the-many.jpg?w=900&h=600&s=1
1,Yonge Street,Points of Interest & Landmarks,Neighbourhood: North End,,,4.0,942,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/9e/3e/ef/yonge-street.jpg?w=900&h=600&s=1
1,Toronto City Hall,Points of Interest & Landmarks|Architectural Buildings|Government Buildings,"Toronto City Hall 100 Queen St W, Toronto, Ontario M5H 2N1 Canada","Designed by a famous Finnish architect, this modern building is home to the Toronto City Council.",,4.0,675,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/56/a5/37/detailed-work.jpg?w=900&h=600&s=1
1,Harbourfront Centre,Points of Interest & Landmarks,"235 Queens Quay W at Lower Simcoe St., Toronto, Ontario M5J 2G8 Canada","Harbourfront Centre, on Toronto's waterfront, is an innovative not-for-profit cultural organization that creates events and activities of excellence that enliven, educate and entertain a diverse public.",Duration: 1-2 hours,4.0,790,1:00 PM - 6:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/09/9c/7c/harbourfront-centre.jpg?w=900&h=600&s=1
1,Graffiti Alley,Neighbourhoods|Points of Interest & Landmarks,Neighbourhood: Fashion District,,Duration: 1-2 hours,4.0,425,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4a/1c/15/photo1jpg.jpg?w=900&h=600&s=1
1,The Beach Village,Neighbourhoods|Points of Interest & Landmarks,"1971 Queen St E Suite 203, Toronto, Ontario M4L 1H9 Canada","Undiscovered by tourists, this quaint neighborhood is home to an academic crowd and contains trendy antique stores and restaurants.",Duration: 2-3 hours,4.5,631,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/33/b1/c9/the-beaches-toronto.jpg?w=900&h=600&s=1
