destinationId,name,labels,address,description,timeCost,rate,heat,opentime,imgUrl
2,Granville Island,Neighbourhoods|Points of Interest & Landmarks|Islands,Neighbourhood: Granville Island,"This large sandbar and former industrial site is now a posh, artsy neighborhood filled with quaint shops, eateries, breweries, and year-round arts and cultural festivals. Located in False Creek, it's famous for the Granville Island Public Market where you can get fresh produce, gourmet food, and artisanal handicrafts. Visit during summer when the island is exceptionally bustling with outdoor entertainment acts, or during the holidays for twinkling festive lights. You can get to Granville Island by car by crossing the Granville Bridge. Otherwise, you can also take a scenic ferry ride, or a walking or bike tour of the waterfront. – Tripadvisor",Duration: 1-2 hours,4.5,"19,989",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/88/fc/c6/photo0jpg.jpg?w=900&h=600&s=1
2,Vancouver Lookout,Points of Interest & Landmarks|Observation Decks & Towers,"555 West Hastings Street Self-Serve Tickets Guest located at the Upper Mall Level, Vancouver, British Columbia V6B 4N6 Canada","SEE IT ALL FROM HERE! The adventure starts with a 40-second glass elevator ride, whisking you 168 meters (553 feet) up to our panoramic observation deck. From there, you’ll enjoy stunning 360° views of Vancouver’s picture-perfect sights. The Vancouver Lookout is located at the top of one of Vancouver's iconic landmarks, the Harbour Centre. Learn about our vibrant city from information panels located throughout the deck, or follow the complimentary self-guided audio tour. Discover the ideal vantage point for historic Gastown, Coal Harbour, the city’s bustling downtown core, and of course the world-famous Stanley Park, all at the Vancouver Lookout. Buy your tickets online to ensure that a visit to the Lookout is part of your Vancouver experience.",Duration: < 1 hour,4.5,"2,382",10:00 AM - 6:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/df/c1/5b/vancouver-lookout-located.jpg?w=900&h=600&s=1
2,Brockton Point Totem Pole,Points of Interest & Landmarks|Monuments & Statues,Neighbourhood: Stanley Park,,,4.5,"1,289",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b6/e1/66/totem.jpg?w=900&h=600&s=1
2,Steam Clock,Points of Interest & Landmarks,"305 Water St, Vancouver, British Columbia V6B 1B8 Canada",,,4.0,"1,740",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/59/fc/70/steam-clock.jpg?w=900&h=600&s=1
2,Robson Street,Points of Interest & Landmarks,Neighbourhood: Robson Street,Vancouver's premier shopping boulevard is lined with restaurants serving food from all over the world.,,4.0,"1,595",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/17/e6/cb/robson-street.jpg?w=900&h=600&s=1
2,Library Square,Points of Interest & Landmarks,"350 Georgia St W, Vancouver, British Columbia V6B 6B1 Canada",,,4.5,271,11:30 AM - 2:00 AM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3e/e8/8d/library-square.jpg?w=900&h=600&s=1
2,Waterfront Station,Points of Interest & Landmarks|Architectural Buildings,"601 Cordova St W, Vancouver, British Columbia V6B 1G1 Canada",,Duration: 2-3 hours,4.0,195,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/da/5b/20/waterfront-station.jpg?w=900&h=600&s=1
2,Granville Street Mall/Granville Street,Points of Interest & Landmarks,Neighbourhood: Shaughnessy,"A major congregation spot for all Vancouver's street performers, jewelry vendors and off-beat personalities.",,3.5,241,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/40/ac/37/evening-view.jpg?w=900&h=600&s=1
2,Digital Orca,Points of Interest & Landmarks|Monuments & Statues,"1055 Canada Pl Jack Poole Plaza, Vancouver Convention Centre, Vancouver, British Columbia V6C 0C3 Canada",,Duration: < 1 hour,4.0,116,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/77/36/e9/tirei-de-longe-pq-rolava.jpg?w=900&h=600&s=1
2,Olympic Village,Points of Interest & Landmarks,"1 Athletes Way, Vancouver, British Columbia V5Y 0B1 Canada",,,4.0,92,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/39/a6/00/bridge-with-the-housing.jpg?w=900&h=600&s=1
