destinationId,name,labels,address,description,timeCost,rate,heat,opentime,imgUrl
4,Lincoln Memorial,Monuments & Statues,"2 Lincoln Memorial Cir NW, Washington DC, DC 20002",The Greek Doric-style memorial sits on the western end of the National Mall and has been the setting of many famous speeches throughout its history.,Duration: < 1 hour,4.5,"32,021",12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2a/90/9e/photo2jpg.jpg?w=900&h=600&s=1&cx=753&cy=1134&chk=v1_436127fab842d939c769
4,Library of Congress,Libraries|Government Buildings,"101 Independence Ave SE, Washington DC, DC 20540","Though the Library of Congress doesn't own every book ever published, it sure has most of them, with 532 miles of shelves and 115 million items, with 7,000 added each working day.",,4.5,"9,146",8:30 AM - 4:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/bd/f5/4f/la-salle-principale.jpg?w=900&h=600&s=1
4,Vietnam Veterans Memorial,Monuments & Statues,"5 Henry Bacon Dr NW, Washington DC, DC 20002",Emotionally stirring memorial pays tribute to the men and women who served in one of America's most controversial wars.,,4.5,"11,995",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ed/d8/94/vietnam-veterans-memorial.jpg?w=900&h=600&s=1
4,Korean War Veterans Memorial,Monuments & Statues,"10 Daniel French Dr SW, Washington DC, DC 20002",This memorial to Korean War veterans consists of the Pool of Remembrance and the triangular Field of Service depicting 19 soldiers on the field of combat.,,4.5,"11,091",12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/93/44/90/memorial-dos-veteranos.jpg?w=900&h=600&s=1
4,National Mall,Historic Walking Areas|Parks,"Constitution Ave NW, Washington DC, DC 20565","Open area of gardens, fountains, trees and monuments stretching nearly two miles between the Capitol and the Lincoln Memorial.",Duration: 2-3 hours,4.5,"8,408",12:00 AM - 11:59 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/17/47/62/what-a-view.jpg?w=900&h=600&s=1
4,U.S. Capitol,Government Buildings,"East Capitol St NE & First St SE, Washington DC, DC 20004","Please note that tour reservations are required for entry. 

The Capitol is among the most architecturally impressive and symbolically important buildings in the world. The Senate and the House of Representatives have met here for more than two centuries. Begun in 1793, the Capitol has been built, burnt, rebuilt, extended, and restored; today, it stands as a monument not only to its builders but also to the American people and their government.",Duration: 1-2 hours,4.5,"7,137",8:30 AM - 3:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/6f/f4/e9/filename-captial-jpg.jpg?w=900&h=600&s=1
4,National World War II Memorial,Monuments & Statues,"1750 Independence Ave SE Near 7th St. & Independence Ave. SW, Washington DC, DC 20003-1636","Consisting of 56 pillars that represent the U.S. states and territories, this impressive national monument honors all who served in the U.S. Armed Forces.",,4.5,"10,208",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f5/6a/64/photo5jpg.jpg?w=900&h=600&s=1
4,Washington Monument,Monuments & Statues,"2 15th St. NW, Washington DC, DC 20560","Dedicated to the first U.S. president, this 555-foot obelisk is an iconic American symbol that stands tall in the National Mall.",,4.5,"9,502",9:00 AM - 5:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/aa/d4/a8/caption.jpg?w=900&h=600&s=1
4,Ford's Theatre,Historic Sites|Theatres|History Museums,"511 10th St NW, Washington DC, DC 20004-1499","The site of the April 14, 1865, assassination of President Abraham Lincoln, Ford's Theatre is a working theatre, historical monument, world-class museum and learning center. The theatre produces musicals and plays reflecting the unique, diverse character of American life. With its inspiring theatrical productions, live historic interpretation, and rich collection of artifacts, Ford’s is the premier destination in the nation’s capital to explore and celebrate the life and legacy of Abraham Lincoln. A daytime visit can include the museum, theatre, Petersen House (the house where Lincoln died) and Aftermath Exhibits at the Center for Education and Leadership. Advance tickets are required (convenience fee). From September to May, Ford’s presents evening and matinee productions of renowned plays, vibrant musicals, and newly commissioned works that captivate and entertain while examining political and social issues related to Lincoln’s life and legacy.",Duration: 1-2 hours,4.5,"4,408",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/8f/b7/lincoln-s-box-from-the.jpg?w=900&h=600&s=1
4,Franklin Delano Roosevelt Memorial,Monuments & Statues,"1850 West Basin Dr SW, Washington DC, DC 20242","This outdoor memorial is the most popular of presidential memorials, in large part because of its elegant design, which includes waterfalls and sculptures.",,4.5,"5,980",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/98/ef/b3/fdr-memorial.jpg?w=900&h=600&s=1
4,Jefferson Memorial,Monuments & Statues,"701 E Basin Dr SW At the south shore of the Tidal Basin, Washington DC, DC 20242",A 19-foot bronze statue of perhaps the most esteemed founding father sits beneath a columned rotunda in the style of the Roman Pantheon.,,4.5,"6,530",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/98/ed/9d/jefferson-memorial.jpg?w=900&h=600&s=1
4,"Martin Luther King, Jr. Memorial",Monuments & Statues,"1850 West Basin Drive SW Near West Basin Drive SW & Independence Ave. SW, Washington DC, DC 20024",,,4.5,"5,835",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/79/4c/53/great-man.jpg?w=900&h=600&s=1&cx=566&cy=225&chk=v1_8bd6f16516e66c3a5363
4,White House,Government Buildings,"1600 Pennsylvania Ave, Washington DC, DC 20500",One of America's most recognizable historical and political symbols is also the home and office of the President of the United States.,Duration: 1-2 hours,4.0,"8,219",9:30 AM - 12:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/36/05/a6/white-house.jpg?w=900&h=600&s=1
4,Washington National Cathedral,Architectural Buildings|Religious Sites|Churches & Cathedrals,"3101 Wisconsin Ave NW, Washington DC, DC 20016-5000","The sixth-largest cathedral in the world, Washington National Cathedral is an architectural masterpiece, a national house of prayer for all people, and a gathering place for the nation in times of sorrow and in times of celebration. It has been the site of presidential funerals, inaugural prayer services, and many historic moments, including the final Sunday sermon delivered by the Rev. Dr. Martin Luther King, Jr.",Duration: 1-2 hours,4.5,"3,115",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d6/c9/f5/washington-national-cathedral.jpg?w=900&h=600&s=1
4,"Hillwood Estate, Museum & Gardens",Historic Sites|Gardens|Art Museums,"4155 Linnean Ave NW, Washington DC, DC 20008-3806","Hillwood, the grand estate of Post Cereal heiress Marjorie Merriweather Post, sits on 25 acres overlooking Rock Creek Park in northwest Washington DC. Along with a world renowned collection of Russian and French decorative arts, Hillwood also features extensive gardens and special exhibitions.",Duration: 1-2 hours,5.0,"1,312",10:00 AM - 5:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/32/e2/9c/immerse-yourself-in-the.jpg?w=900&h=600&s=1
4,Basilica of the National Shrine of the Immaculate Conception,Religious Sites|Churches & Cathedrals,"400 Michigan Ave NE, Washington DC, DC 20017-1566","The Basilica of the National Shrine of the Immaculate Conception is the largest Roman Catholic church in the United States and North America, and is one of the ten largest churches in the world. The Basilica is the nation's preeminent Marian shrine, dedicated to the patroness of the United States; the Blessed Virgin Mary under her title of the Immaculate Conception. It is oftentimes affectionately referred to as America's Catholic Church. Visited by Pope Francis, Pope Benedict XVI, Saint John Paul II, and Saint Teresa of Calcutta, among others, the Basilica, though distinctly American, rivals the great sanctuaries of Europe and the world. Byzantine-Romanesque in style, its massive, one-of-a-kind superstructure is home to over 80 chapels and oratories that relate to the peoples, cultures and traditions that are the fabric of the Catholic faith and the mosaic of our great nation. The Basilica also houses the largest collection of contemporary ecclesiastical art on earth.",,5.0,"1,915",6:00 AM - 6:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/5a/9b/with-a-gross-floor-area.jpg?w=900&h=600&s=1
4,Capitol Hill,Neighbourhoods|Historic Walking Areas,"First St and East Capitil St NE, Washington DC, DC 20004","At the east end of The Mall, the Hill is home to the U.S. Capitol.",,4.5,"3,488",8:30 AM - 4:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/85/91/32/capital-building.jpg?w=900&h=600&s=1
4,Georgetown,Neighbourhoods,Neighbourhood: Georgetown,"A charming neighborhood that, with its upscale boutiques and notable residents, is more than a college hangout.",Duration: 2-3 hours,4.5,"3,025",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5c/5b/2a/photo2jpg.jpg?w=900&h=600&s=1
4,Smithsonian Institution Building,Castles|Government Buildings,"1000 Jefferson Dr SW, Washington DC, DC 20560-0008","The world's largest museum and research complex is actually comprised of 19 museums and the National Zoo, with subjects that vary from African Art to the postal service, sculpture to space exploration.",Duration: 1-2 hours,4.5,"3,552",8:30 AM - 5:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c2/87/74/edificio-do-smithsonian.jpg?w=900&h=600&s=1
4,Supreme Court,Government Buildings,"First Street NE, Washington DC, DC 20003",A Corinthian-style building where the final guardians of the Constitution deliberate.,Duration: 1-2 hours,4.5,"1,517",9:00 AM - 4:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/53/0a/54/supreme-court.jpg?w=900&h=600&s=1
