ITEM_ID,GENRES,DESCRIPTION
1,Points of Interest & Landmarks|Architectural Buildings|Observation Decks & Towers,"""Climb this 1,815-foot-tall observation tower to have the whole of Toronto at your feet and overlook up to 100 miles on a clear day. Once the tallest structure on Earth for over 30 years, the CN Tower attracts travelers to its two observation decks—one of which features a glass floor. If you’re looking for an extra thrill, try Edgewalk, where you can walk hands-free on a ledge surrounding the top floors. The tower is also home to the award-winning 360 Restaurant, which completes a rotation around the structure every 72 minutes, giving you an ever-changing view of the city while you dine. – Tripadvisor"""
2,Points of Interest & Landmarks,
3,Points of Interest & Landmarks|Historic Walking Areas,"""Often compared to New York City's Soho, Queen Street is the place to go for trendy dining and nightlife, plus cutting-edge fashion, art galleries, antique shops and bookstores."""
4,Points of Interest & Landmarks|Theatres,
5,Points of Interest & Landmarks,
6,Points of Interest & Landmarks,
7,Points of Interest & Landmarks|Architectural Buildings|Government Buildings,"""Designed by a famous Finnish architect, this modern building is home to the Toronto City Council."""
8,Points of Interest & Landmarks,"""Harbourfront Centre, on Toronto's waterfront, is an innovative not-for-profit cultural organization that creates events and activities of excellence that enliven, educate and entertain a diverse public."""
9,Neighbourhoods|Points of Interest & Landmarks,
10,Neighbourhoods|Points of Interest & Landmarks,"""Undiscovered by tourists, this quaint neighborhood is home to an academic crowd and contains trendy antique stores and restaurants."""
11,Points of Interest & Landmarks|Historic Walking Areas|Gardens,"""A former brick making factory, Evergreen Brick Works is now a place where the world can experience sustainable practices that enable flourishing cities of the future. Evergreen Brick Works connects citizens, business, academia and government to shape our cities for the better. For real. Open daily and year-round, Evergreen Brick Works engages visitors in a full suite of attractions and events including our Saturday Farmers' Market, nature trails for hiking and cycling, site tours, exhibits, conferences, festivals, nature-based camps for youth and a sustainable garden market and eco-store."""
12,Historic Sites|Points of Interest & Landmarks|Architectural Buildings,
13,Points of Interest & Landmarks|Architectural Buildings,"""One of Toronto's premier architectural landmarks, this 750-foot-long, classically-inspired hall is the main juncture of the city's rail and subway transit systems."""
14,Neighbourhoods|Points of Interest & Landmarks,"""Danforth Street is more commonly known as \""The Danforth\"" where it becomes the city's Greek neighborhood."""
15,Art Galleries|Points of Interest & Landmarks,
16,Neighbourhoods|Points of Interest & Landmarks,
17,Neighbourhoods|Points of Interest & Landmarks,"""Popular shopping areas with affordable shops and restaurants."""
18,Neighbourhoods|Points of Interest & Landmarks,
19,Points of Interest & Landmarks,
20,Points of Interest & Landmarks,
21,Points of Interest & Landmarks,
22,Points of Interest & Landmarks,"""Downtown street known as the heart of the financial district."""
23,Neighbourhoods|Points of Interest & Landmarks,
24,Historic Sites|Points of Interest & Landmarks|Lookouts|Observation Decks & Towers|Scenic Walking Areas,
25,Points of Interest & Landmarks,
26,Points of Interest & Landmarks|Architectural Buildings|Parks,
27,Art Galleries|Points of Interest & Landmarks,
28,Historic Sites|Points of Interest & Landmarks|Monuments & Statues,
29,Points of Interest & Landmarks,
30,Points of Interest & Landmarks,
31,Points of Interest & Landmarks,"""One of the main downtown arteries, home to a variety of businesses and entertainment venues."""
32,Points of Interest & Landmarks,
33,Points of Interest & Landmarks|Architectural Buildings,"""Ornate, 34-story Romanesque structure housing the country's oldest and most venerated bank."""
34,Points of Interest & Landmarks,
35,Points of Interest & Landmarks,
36,Points of Interest & Landmarks|Monuments & Statues,
37,Art Galleries|Points of Interest & Landmarks|Art Museums,"""Bau-Xi Gallery is one of Canada's most established galleries representing artists from across Canada. Established in 1965, we operate three gallery spaces in Toronto and Vancouver. In Toronto, the galleries are located across the street from the Art Gallery of Ontario and in Vancouver on South Granville gallery row."""
38,Historic Sites|Points of Interest & Landmarks|Churches & Cathedrals,"""Come be a part of a growing, dynamic, and transformative Christian community at St. Paul’s Bloor Street. St. Paul’s is based in a historic building in downtown Toronto, but our community is spread all over the city. We believe the good news of Jesus' life, death, and resurrection is relevant to all people and has the power to transform our lives, the City of Toronto, and our world. We believe we were made to love God and to express that love together through loving others in word and deed."""
39,Points of Interest & Landmarks,
40,Historic Sites|Points of Interest & Landmarks|Lighthouses,
41,Points of Interest & Landmarks,
42,Points of Interest & Landmarks,
43,Points of Interest & Landmarks,
